iter	Passed	Remaining
0	1	114
1	2	118
2	3	112
3	4	101
4	5	98
5	6	94
6	6	91
7	7	89
8	8	88
9	9	88
10	11	90
11	12	91
12	13	89
13	14	87
14	15	85
15	16	85
16	17	84
17	18	82
18	19	82
19	20	82
20	21	82
21	22	80
22	23	79
23	24	78
24	25	77
25	26	75
26	27	74
27	28	73
28	29	73
29	30	71
30	31	70
31	32	69
32	33	68
33	35	68
34	36	67
35	37	66
36	38	65
37	39	64
38	40	62
39	41	61
40	42	60
41	42	58
42	43	57
43	44	56
44	45	55
45	45	53
46	46	52
47	47	51
48	49	51
49	50	50
50	52	50
51	54	49
52	55	48
53	56	47
54	56	46
55	57	45
56	58	44
57	59	43
58	60	42
59	61	41
60	62	40
61	63	38
62	64	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	33
68	71	31
69	72	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	81	21
79	82	20
80	82	19
81	83	18
82	84	17
83	85	16
84	86	15
85	87	14
86	88	13
87	89	12
88	90	11
89	91	10
90	92	9
91	93	8
92	94	7
93	95	6
94	96	5
95	97	4
96	98	3
97	99	2
98	100	1
99	101	0
